symbol,symbol_era_id,resolution_status,resolution_disposition,evidence_tier,research_route,instrument_type,historical_issuer_name,event_type,event_date,successor,primary_source_url,secondary_source_url,source_note,resolver
MYNDW,MYNDW#002,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root MYND,warrant_unit_right_terminal_action,20170826,,local:parent-root-current-evidence,,Local terminal disposition: MYNDW linked to parent/root symbol MYND with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
MYNDW,MYNDW#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root MYND,warrant_unit_right_terminal_action,20170720,,local:parent-root-current-evidence,,Local terminal disposition: MYNDW linked to parent/root symbol MYND with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
MYNDW,MYNDW#003,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root MYND,warrant_unit_right_terminal_action,20171005,,local:parent-root-current-evidence,,Local terminal disposition: MYNDW linked to parent/root symbol MYND with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
MYNDW,MYNDW#004,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root MYND,warrant_unit_right_terminal_action,20190717,,local:parent-root-current-evidence,,Local terminal disposition: MYNDW linked to parent/root symbol MYND with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
NDRAU,NDRAU#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_unit,Parent root NDRA,warrant_unit_right_terminal_action,20170522,,local:parent-root-current-evidence,,Local terminal disposition: NDRAU linked to parent/root symbol NDRA with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
NDRAW,NDRAW#003,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root NDRA,warrant_unit_right_terminal_action,20220512,,local:parent-root-current-evidence,,Local terminal disposition: NDRAW linked to parent/root symbol NDRA with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
NDRAW,NDRAW#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root NDRA,warrant_unit_right_terminal_action,20170826,,local:parent-root-current-evidence,,Local terminal disposition: NDRAW linked to parent/root symbol NDRA with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
NDRAW,NDRAW#002,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root NDRA,warrant_unit_right_terminal_action,20170925,,local:parent-root-current-evidence,,Local terminal disposition: NDRAW linked to parent/root symbol NDRA with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
NESRU,NESRU#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_unit,Parent root NESR,warrant_unit_right_terminal_action,20170517,,local:parent-root-current-evidence,,Local terminal disposition: NESRU linked to parent/root symbol NESR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
NESRW,NESRW#003,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root NESR,warrant_unit_right_terminal_action,20230427,,local:parent-root-current-evidence,,Local terminal disposition: NESRW linked to parent/root symbol NESR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
